round,x_1,x_2,x_3,x_4,balance_error_kw,cost
690,320.72188441807964,82.00000155329525,227.143899849987,170.1342141786379,-2.2737367544323206e-13,957030.6751318361
700,320.72188454068356,82.00000122017369,227.14389998563686,170.13421425350566,-2.2737367544323206e-13,957030.6751152067
710,320.72188463699376,82.00000095849379,227.14390009219514,170.13421431231714,-2.2737367544323206e-13,957030.6751021439
720,320.72188471264906,82.00000075293406,227.14390017590074,170.1342143585159,-2.2737367544323206e-13,957030.6750918822
730,320.72188477207936,82.00000059145891,227.14390024165473,170.1342143948068,-2.2737367544323206e-13,957030.6750838215
740,320.7218848187641,82.00000046461393,227.1439002933071,170.13421442331472,-1.1368683772161603e-13,957030.6750774897
750,320.72188485543677,82.00000036497228,227.143900333882,170.13421444570878,-2.2737367544323206e-13,957030.6750725155
760,320.7218848842447,82.0000002866999,227.14390036575517,170.1342144633002,0.0,957030.6750686084
770,320.72188490687427,82.0000002252139,227.14390039079285,170.13421447711895,0.0,957030.6750655391
780,320.72188492465074,82.00000017691424,227.14390041046087,170.13421448797408,-1.1368683772161603e-13,957030.6750631278
790,320.7218849386149,82.00000013897301,227.14390042591086,170.13421449650124,0.0,957030.6750612339
800,320.72188494958425,82.0000001091687,227.14390043804744,170.13421450319964,0.0,957030.6750597461
810,320.7218849582011,82.00000008575624,227.1439004475812,170.1342145084615,0.0,957030.6750585773
820,320.72188496497,82.00000006736487,227.14390045507028,170.1342145125949,0.0,957030.6750576594
830,320.7218849702872,82.00000005291771,227.14390046095332,170.13421451584182,0.0,957030.6750569382
840,320.72188497446405,82.00000004156891,227.14390046557466,170.1342145183924,0.0,957030.6750563716
850,320.7218849777452,82.00000003265397,227.14390046920488,170.13421452039603,1.1368683772161603e-13,957030.6750559267
860,320.7218849803226,82.00000002565096,227.14390047205654,170.13421452196997,1.1368683772161603e-13,957030.6750555771
870,320.7218849823472,82.00000002014983,227.14390047429663,170.13421452320628,0.0,957030.6750553022
880,320.7218849839377,82.00000001582849,227.1439004760563,170.13421452417748,0.0,957030.6750550865
890,320.721884985187,82.0000000124339,227.14390047743862,170.13421452494038,-1.1368683772161603e-13,957030.675054917
900,320.7218849861684,82.00000000976729,227.14390047852444,170.13421452553968,-2.2737367544323206e-13,957030.6750547837
910,320.72188498693936,82.00000000767258,227.1439004793774,170.13421452601042,-2.2737367544323206e-13,957030.6750546792
920,320.72188498754497,82.00000000602712,227.14390048004748,170.13421452638028,-1.1368683772161603e-13,957030.6750545971
930,320.7218849880207,82.00000000473455,227.14390048057385,170.1342145266708,-1.1368683772161603e-13,957030.6750545326
940,320.72188498839444,82.0000000037192,227.14390048098733,170.134214526899,0.0,957030.6750544821
950,320.7218849886879,82.00000000292157,227.1439004813121,170.13421452707823,-2.2737367544323206e-13,957030.675054442
960,320.7218849889186,82.000000002295,227.14390048156721,170.13421452721906,-1.1368683772161603e-13,957030.6750544108
970,320.72188498909975,82.0000000018028,227.14390048176767,170.1342145273297,-1.1368683772161603e-13,957030.6750543864
980,320.7218849892421,82.00000000141617,227.1439004819251,170.1342145274166,0.0,957030.675054367
990,320.72188498935384,82.00000000111245,227.1439004820488,170.13421452748486,0.0,957030.6750543519
1000,320.72188498944166,82.00000000087388,227.14390048214597,170.1342145275385,0.0,957030.67505434
1010,320.7218849895107,82.00000000068646,227.1439004822223,170.13421452758064,1.1368683772161603e-13,957030.6750543308
