round,x_1,x_2,x_3,x_4,x_5,x_6,balance_error_kw,cost
1020,334.2368814733697,82.00930223245157,237.30179598983963,176.45202030432483,59.99999999999969,259.9999999999997,-1.4779288903810084e-11,1355483.2727880161
1030,334.23713384389634,82.0087024520278,237.30201377681541,176.45214992724576,59.99999999999976,259.9999999999997,-1.5234036254696548e-11,1355483.2614819747
1040,334.23736992714623,82.00814138662139,237.30221750344813,176.45227118276918,59.99999999999983,259.9999999999997,-1.546140993013978e-11,1355483.250906596
1050,334.2375907763336,82.00761653187134,237.30240807957057,176.45238461220907,59.999999999999886,259.9999999999997,-1.5916157281026244e-11,1355483.2410145064
1060,334.23779737630736,82.00712554608495,237.3025863558795,176.45249072171234,59.999999999999886,259.9999999999997,-1.6370904631912708e-11,1355483.2317614234
1070,334.23799064802114,82.00666623958855,237.30275312781203,176.4525899845621,59.999999999999886,259.9999999999997,-1.659827830735594e-11,1355483.2231059514
1080,334.238171452707,82.00623656478567,237.30290913916355,176.4526828433275,59.999999999999886,259.9999999999997,-1.6825651982799172e-11,1355483.2150093901
1090,334.23834059577257,82.00583460687449,237.3030550854653,176.45276971187107,59.999999999999886,259.9999999999997,-1.7053025658242404e-11,1355483.2074355592
1100,334.23849883044204,82.00545857517989,237.30319161713834,176.4528509772229,59.999999999999886,259.9999999999997,-1.7280399333685637e-11,1355483.200350631
1110,334.23864686115536,82.00510679505807,237.30331934243821,176.45292700133135,59.999999999999886,259.9999999999997,-1.750777300912887e-11,1355483.1937229773
1120,334.2387853467449,82.0047777003351,237.303438830205,176.45299812269775,59.999999999999886,259.9999999999997,-1.77351466845721e-11,1355483.1875230244
1130,334.2389149034026,82.00446982624382,237.30355061243247,176.45306465790358,59.999999999999886,259.9999999999997,-1.7962520360015333e-11,1355483.1817231185
1140,334.2390361074526,82.00418180282517,237.3036551866673,176.4531269030371,59.999999999999886,259.9999999999997,-1.8189894035458565e-11,1355483.1762974006
1150,334.23914949794147,82.003912348763,237.30375301825094,176.45318513502642,59.999999999999886,259.9999999999997,-1.864464138634503e-11,1355483.1712216893
1160,334.23925557905955,82.00366026562334,237.30384454241388,176.45323961288483,59.999999999999886,259.9999999999997,-1.887201506178826e-11,1355483.1664733705
1170,334.239354822403,82.0034244324712,237.3039301662327,176.45329057887446,59.999999999999886,259.9999999999997,-1.9099388737231493e-11,1355483.1620312962
1180,334.2394476690886,82.0032038008398,237.30401027045886,176.45333825959392,59.999999999999886,259.9999999999997,-1.9326762412674725e-11,1355483.1578756873
1190,334.2395345317299,82.00299739002861,237.30408521122746,176.45338286699487,59.999999999999886,259.9999999999997,-1.9554136088117957e-11,1355483.1539880466
1200,334.2396157962851,82.00280428270872,237.30415532165475,176.4534245993319,59.999999999999886,259.9999999999997,-2.000888343900442e-11,1355483.1503510734
1210,334.2396918237838,82.0026236208149,237.30422091333085,176.45346364205065,59.999999999999886,259.9999999999997,-2.0236257114447653e-11,1355483.1469485874
1220,334.2397629519414,82.00245460170567,237.3042822777153,176.45350016861767,59.999999999999886,259.9999999999997,-2.0463630789890885e-11,1355483.1437654544
1230,334.23982949666845,82.0022964745735,237.30433968744128,176.45353434129652,59.999999999999886,259.9999999999997,-2.0691004465334117e-11,1355483.1407875188
1240,334.2398917534823,82.00214853708877,237.30439339753516,176.4535663118733,59.999999999999886,259.9999999999997,-2.091837814077735e-11,1355483.1380015411
1250,334.2399499988258,82.00201013226216,237.30444364655662,176.4535962223346,59.999999999999886,259.9999999999997,-2.114575181622058e-11,1355483.1353951364
1260,334.24000449130176,82.00188064551095,237.3044906576644,176.45362420550188,59.999999999999886,259.9999999999997,-2.1373125491663814e-11,1355483.1329567214
1270,334.24005547282593,82.00175950191601,237.30453463961257,176.4536503856242,59.999999999999886,259.9999999999997,-2.1600499167107046e-11,1355483.1306754602
1280,334.24010316970606,82.00164616365697,237.30457578768272,176.4536748789327,59.999999999999886,259.9999999999997,-2.1827872842550278e-11,1355483.1285412172
1290,334.24014779365046,82.0015401276138,237.30461428455493,176.45369779415893,59.999999999999886,259.9999999999997,-2.2282620193436742e-11,1355483.1265445114
1300,334.24018954271156,82.00144092312412,237.30465030112254,176.45371923301954,59.999999999999886,259.9999999999997,-2.2737367544323206e-11,1355483.124676474
1310,334.2402286021679,82.00134810988583,237.30468399725393,176.45373929066986,59.999999999999886,259.9999999999997,-2.2964741219766438e-11,1355483.122928809
