round,x_1,x_2,x_3,x_4,balance_error_kw,cost
1260,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1270,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1280,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1290,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1300,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1310,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1320,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1330,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1340,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1350,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1360,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1370,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1380,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1390,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1400,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1410,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1420,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1430,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1440,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1450,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1460,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1470,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1480,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1490,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1500,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1510,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1520,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1530,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1540,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1550,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1560,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1570,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1580,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1590,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1600,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1610,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1620,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1630,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1640,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1650,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1660,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1670,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1680,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1690,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1700,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1710,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1720,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1730,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1740,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1750,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1760,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1770,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1780,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1790,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1800,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
1810,320.7218849897652,82.00000000000018,227.14390048250254,170.1342145277356,3.524291969370097e-12,957030.6750543019
