round,x_1,x_2,x_3,x_4,x_5,x_6,balance_error_kw,cost
1260,332.3099105202595,82.00000002149353,238.49564422721923,177.1944453543624,59.999999876642654,259.99999999999983,-2.2964741219766438e-11,1355490.902118472
1270,332.30991052283605,82.00000001834378,238.4956442134051,177.1944453512923,59.99999989409987,259.99999999999983,-2.319211489520967e-11,1355490.9021111163
1280,332.309910525035,82.00000001565563,238.49564420154448,177.19444534865522,59.99999990908659,259.99999999999983,-2.319211489520967e-11,1355490.902104802
1290,332.3099105269116,82.00000001336139,238.49564419136112,177.1944453463901,59.999999921952416,259.99999999999983,-2.3646862246096134e-11,1355490.9020993814
1300,332.30991052851317,82.00000001140333,238.49564418261787,177.19444534444446,59.999999932997504,259.99999999999983,-2.3874235921539366e-11,1355490.902094728
1310,332.3099105298801,82.00000000973223,238.49564417511104,177.19444534277326,59.99999994247953,259.99999999999983,-2.4101609596982598e-11,1355490.9020907336
1320,332.30991053104657,82.00000000830603,238.4956441686658,177.1944453413378,59.99999995061968,259.99999999999983,-2.432898327242583e-11,1355490.9020873045
1330,332.3099105320421,82.00000000708884,238.495644163132,177.1944453401048,59.99999995760786,259.99999999999983,-2.4556356947869062e-11,1355490.9020843606
1340,332.30991053289176,82.00000000605,238.4956441583808,177.1944453390457,59.99999996360709,259.99999999999983,-2.4783730623312294e-11,1355490.9020818335
1350,332.30991053361686,82.00000000516343,238.4956441543015,177.19444533813603,59.999999968757315,259.99999999999983,-2.5011104298755527e-11,1355490.9020796642
1360,332.3099105342357,82.00000000440677,238.4956441507991,177.19444533735467,59.999999973178696,259.99999999999983,-2.523847797419876e-11,1355490.902077802
1370,332.3099105347638,82.00000000376097,238.495644147792,177.19444533668351,59.99999997697439,259.99999999999983,-2.546585164964199e-11,1355490.9020762031
1380,332.3099105352144,82.00000000320982,238.49564414521018,177.19444533610704,59.99999998023291,259.99999999999983,-2.5920599000528455e-11,1355490.9020748304
1390,332.30991053559893,82.00000000273945,238.49564414299348,177.1944453356119,59.9999999830303,259.99999999999983,-2.6147972675971687e-11,1355490.9020736523
1400,332.3099105359271,82.000000002338,238.49564414109025,177.19444533518663,59.99999998543181,259.99999999999983,-2.637534635141492e-11,1355490.9020726406
1410,332.30991053620716,82.00000000199537,238.49564413945618,177.19444533482135,59.99999998749346,259.99999999999983,-2.660272002685815e-11,1355490.9020717721
1420,332.3099105364461,82.00000000170296,238.49564413805325,177.19444533450758,59.99999998926336,259.99999999999983,-2.6830093702301383e-11,1355490.9020710266
1430,332.3099105366501,82.00000000145342,238.4956441368487,177.19444533423808,59.999999990782776,259.99999999999983,-2.7057467377744615e-11,1355490.9020703868
1440,332.309910536824,82.00000000124044,238.49564413581456,177.19444533400664,59.999999992087176,259.99999999999983,-2.7284841053187847e-11,1355490.9020698373
1450,332.30991053697255,82.00000000105865,238.49564413492666,177.1944453338078,59.99999999320697,259.99999999999983,-2.751221472863108e-11,1355490.9020693656
1460,332.3099105370992,82.00000000090351,238.49564413416428,177.19444533363705,59.99999999416831,259.99999999999983,-2.773958840407431e-11,1355490.9020689605
1470,332.3099105372073,82.0000000007711,238.49564413350976,177.19444533349042,59.999999994993594,259.99999999999983,-2.7966962079517543e-11,1355490.9020686129
